aname,face.value,face.confidence,mood.value,mood.confidence,neutral_mood.value,neutral_mood.confidence,anger.value,anger.confidence,disgust.value,disgust.confidence,fear.value,fear.confidence,happiness.value,happiness.confidence,sadness.value,sadness.confidence,surprise.value,surprise.confidence
face-1007-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-956-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-950-1-Go.png,TRUE,62,surprised,69,FALSE,16,FALSE,30,FALSE,40,FALSE,15,FALSE,0,FALSE,22,TRUE,69
face-1006-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-953-1-Go.png,TRUE,57,surprised,53,FALSE,0,FALSE,0,FALSE,18,FALSE,15,FALSE,20,FALSE,32,TRUE,53
face-948-2-Go.png,TRUE,79,sad,73,FALSE,36,FALSE,0,FALSE,16,FALSE,18,FALSE,4,TRUE,73,FALSE,15
face-951-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-947-1-Go.png,TRUE,71,sad,58,FALSE,0,FALSE,40,TRUE,57,FALSE,27,FALSE,0,TRUE,58,FALSE,0
face-946-1-Go.png,TRUE,50,angry,97,FALSE,0,TRUE,97,FALSE,27,FALSE,0,FALSE,0,TRUE,65,FALSE,0
face-948-1-Go.png,TRUE,73,sad,84,FALSE,37,FALSE,6,FALSE,32,FALSE,44,FALSE,0,TRUE,84,FALSE,0
face-952-1-Go.png,TRUE,54,surprised,62,FALSE,0,FALSE,0,FALSE,28,FALSE,14,FALSE,32,FALSE,13,TRUE,62
face-955-3-Go.png,TRUE,54,surprised,66,FALSE,0,FALSE,0,FALSE,7,FALSE,41,FALSE,4,FALSE,0,TRUE,66
face-945-1-Go.png,TRUE,76,disgusted,82,FALSE,0,FALSE,27,TRUE,82,FALSE,4,FALSE,0,TRUE,71,FALSE,2
face-1006-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-944-1-Go.png,TRUE,68,sad,80,FALSE,0,FALSE,0,TRUE,72,FALSE,20,FALSE,0,TRUE,80,FALSE,10
face-943-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-942-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1003-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-935-1-Go.png,TRUE,56,angry,83,FALSE,0,TRUE,83,TRUE,66,FALSE,0,FALSE,3,FALSE,49,FALSE,35
face-933-3-Go.png,TRUE,61,surprised,77,FALSE,0,TRUE,63,TRUE,51,FALSE,8,FALSE,0,FALSE,7,TRUE,77
face-936-5-Go.png,TRUE,58,angry,76,FALSE,0,TRUE,76,FALSE,21,FALSE,0,FALSE,12,FALSE,38,TRUE,67
face-937-1-Go.png,TRUE,67,disgusted,53,FALSE,37,FALSE,18,TRUE,53,FALSE,26,FALSE,0,TRUE,53,FALSE,0
face-932-1-Go.png,TRUE,59,sad,68,FALSE,0,FALSE,13,TRUE,67,TRUE,52,FALSE,0,TRUE,68,FALSE,23
face-932-5-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-940-1-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-931-6-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-1000-2-Go.png,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
face-931-1-Go.png,TRUE,61,scared,96,FALSE,0,FALSE,0,FALSE,25,TRUE,96,FALSE,0,FALSE,27,FALSE,27
