"file","mid","description","score"
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0045.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0045.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0046.png","/m/06ntj","sports",0.98552203
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0046.png","/m/07bs0","tennis",0.9717961
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0046.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0046.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0047.png","/m/06ntj","sports",0.98569983
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0047.png","/m/07bs0","tennis",0.97174233
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0047.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0047.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0048.png","/m/06ntj","sports",0.9852078
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0048.png","/m/020m7t","ball game",0.9285714
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0048.png","/m/01qhp_","racquet sport",0.8888889
"2016_SC2_R02_DDzumhur_BIH_vs_DGoffin_BEL_MS212_clip.0048.png","/m/07p82rh","human action",0.82130623
