"file","mid","description","score","boundingPoly.x1","boundingPoly.x2","boundingPoly.x3","boundingPoly.x4","boundingPoly.y1","boundingPoly.y2","boundingPoly.y3","boundingPoly.y4"
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0022.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0023.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0024.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0025.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0026.png","/m/0p58j","Australian Open Tennis Tournament",0.27145919,48,109,109,48,44,44,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0027.png","/m/0p58j","Australian Open Tennis Tournament",0.40932,37,81,81,37,50,50,138,138
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0028.png","/m/0p58j","Australian Open Tennis Tournament",0.41088635,37,109,109,37,50,50,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0029.png","/m/01_1kk","Paris Saint-Germain F.C.",0.5178706,654,739,739,654,336,336,403,403
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0029.png","/m/0p58j","Australian Open Tennis Tournament",0.45894763,41,109,109,41,50,50,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0030.png","/m/01_1kk","Paris Saint-Germain F.C.",0.50960428,652,748,748,652,319,319,385,385
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0030.png","/m/0p58j","Australian Open Tennis Tournament",0.41667581,41,113,113,41,50,50,146,146
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0031.png","/m/011_65","Emirates",0.47827744,623,752,752,623,326,326,375,375
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0031.png","/m/0p58j","Australian Open Tennis Tournament",0.34835893,42,109,109,42,74,74,140,140
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0032.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0033.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0034.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0035.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0036.png",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0037.png","/m/011_65","Emirates",0.42319378,624,775,775,624,166,166,188,188
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0037.png","/m/0p58j","Australian Open Tennis Tournament",0.26771358,51,146,146,51,48,48,146,146
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0037.png","/m/040v7z","ANZ",0.21085624,525,733,733,525,334,334,419,419
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0038.png","/m/0p58j","Australian Open Tennis Tournament",0.41455138,42,113,113,42,50,50,146,146
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0039.png","/m/0by16yq","Square, Inc.",0.48458758,284,443,443,284,297,297,410,410
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0039.png","/m/0p58j","Australian Open Tennis Tournament",0.43321002,37,109,109,37,50,50,143,143
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0040.png","/m/0p58j","Australian Open Tennis Tournament",0.46242079,41,113,113,41,25,25,143,143
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0041.png","/m/0p58j","Australian Open Tennis Tournament",0.409769,41,87,87,41,25,25,136,136
"2016_CT6_R01_EKulichkova_RUS_vs_APetkovic_GER_WS128_clip.0042.png","/g/11bbrmhp7y","ANZ",0.14477558,548,584,584,548,40,40,49,49
